"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.4356353617,0.435957,0.43633363446921,13014.7,0.95,0.363667,0.510635,0.5,4.12,NA,NA,NA,NA,NA
"kappa",55.8393654005,37.14295,18.4906806403095,2745.2,0.95,3.43116,166.126,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.360059831905,0.367366,0.379744584089313,11250.5,0.95,0.184644,0.52362,0.5,3.84,NA,NA,NA,NA,NA
"theta[2]",0.384179523495,0.390107,0.402590346997433,14836.6,0.95,0.212547,0.54062,0.5,6.62,NA,NA,NA,NA,NA
"theta[3]",0.408139404045,0.41172,0.426766062467892,16827.6,0.95,0.242829,0.559938,0.5,11.275,NA,NA,NA,NA,NA
"theta[4]",0.40724467769,0.410552,0.417074758066574,16846.7,0.95,0.242212,0.561778,0.5,11.225,NA,NA,NA,NA,NA
"theta[5]",0.408298973885,0.411217,0.417028909479289,15993.8,0.95,0.237933,0.55991,0.5,11.705,NA,NA,NA,NA,NA
"theta[6]",0.40744846248,0.410879,0.418481155390317,17193,0.95,0.249043,0.568053,0.5,11.24,NA,NA,NA,NA,NA
"theta[7]",0.40762178297,0.4100925,0.406908908157248,17398.1,0.95,0.242988,0.564258,0.5,11.42,NA,NA,NA,NA,NA
"theta[8]",0.407916223735,0.4107535,0.424808124380531,16124.6,0.95,0.239803,0.558269,0.5,11.66,NA,NA,NA,NA,NA
"theta[9]",0.407703659115,0.411161,0.420456989572452,16611.9,0.95,0.238032,0.559187,0.5,11.21,NA,NA,NA,NA,NA
"theta[10]",0.407274495515,0.410422,0.4233991678512,17018.2,0.95,0.238058,0.559901,0.5,11.21,NA,NA,NA,NA,NA
"theta[11]",0.431274472765,0.4321955,0.436812759943569,17891.1,0.95,0.272533,0.589317,0.5,18.2,NA,NA,NA,NA,NA
"theta[12]",0.43089097695,0.430985,0.429698724357636,18626.8,0.95,0.273888,0.589933,0.5,18.15,NA,NA,NA,NA,NA
"theta[13]",0.4313920854,0.431855,0.439727666258957,17063.9,0.95,0.276907,0.59283,0.5,17.845,NA,NA,NA,NA,NA
"theta[14]",0.430549158115,0.4309925,0.441729639744837,18790.8,0.95,0.274463,0.589654,0.5,17.745,NA,NA,NA,NA,NA
"theta[15]",0.43063531625,0.4308495,0.427968857179593,18081.6,0.95,0.273119,0.587112,0.5,17.645,NA,NA,NA,NA,NA
"theta[16]",0.45501566566,0.4531735,0.453354666343951,17456.4,0.95,0.295617,0.613431,0.5,27.065,NA,NA,NA,NA,NA
"theta[17]",0.454303775,0.451886,0.459220103195669,16178.3,0.95,0.299681,0.617996,0.5,26.38,NA,NA,NA,NA,NA
"theta[18]",0.4542712428,0.4519025,0.445496346727843,18340.5,0.95,0.294898,0.614935,0.5,26.31,NA,NA,NA,NA,NA
"theta[19]",0.45367975285,0.4512485,0.450543826616274,18087.6,0.95,0.292271,0.612283,0.5,26.07,NA,NA,NA,NA,NA
"theta[20]",0.4548933122,0.4519325,0.444223200639498,16949.5,0.95,0.294093,0.613934,0.5,26.705,NA,NA,NA,NA,NA
"theta[21]",0.4541223977,0.4511665,0.442617031251649,18101.6,0.95,0.291378,0.616902,0.5,26.485,NA,NA,NA,NA,NA
"theta[22]",0.453987211,0.4512825,0.45167645288154,18333,0.95,0.299808,0.620281,0.5,26.225,NA,NA,NA,NA,NA
"theta[23]",0.4776792458,0.4722605,0.469275405827854,16977.2,0.95,0.325617,0.654486,0.5,35.865,NA,NA,NA,NA,NA
"theta[24]",0.47804986925,0.472129,0.450128341203725,16379,0.95,0.317836,0.650877,0.5,36.205,NA,NA,NA,NA,NA
"theta[25]",0.50076640325,0.492465,0.486227338971272,13467.9,0.95,0.333437,0.675226,0.5,46.225,NA,NA,NA,NA,NA
"theta[26]",0.5017351159,0.493275,0.468622431508112,13607.8,0.95,0.335937,0.678506,0.5,46.805,NA,NA,NA,NA,NA
"theta[27]",0.5007420152,0.4922645,0.471293691340247,14441.5,0.95,0.342298,0.682676,0.5,46.405,NA,NA,NA,NA,NA
"theta[28]",0.52413874145,0.51213,0.483430615004616,10812.5,0.95,0.36246,0.724008,0.5,55.625,NA,NA,NA,NA,NA
"theta[1]-theta[14]",-0.07048932621,-0.05995,-0.0358761160473772,15444.8,0.95,-0.295463,0.139682,0,26.08,NA,NA,NA,NA,NA
"theta[1]-theta[28]",-0.164078909545,-0.142665,-0.0697013996327114,8335.2,0.95,-0.452357,0.066409,0,8.895,NA,NA,NA,NA,NA
"theta[14]-theta[28]",-0.093589583335,-0.0788105000000001,-0.0368386363649297,12593.6,0.95,-0.345959,0.117003,0,20.93,NA,NA,NA,NA,NA
