"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.43291674745,0.432877,0.432783539142863,16842.2,0.95,0.351774,0.514692,0.5,5.025,NA,NA,NA,NA,NA
"kappa",22.211559648,19.86485,15.2585117218568,14430,0.95,5.65112,44.6468,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.323724446545,0.324221,0.337218859145581,18316.4,0.95,0.142339,0.506744,0.5,2.8,NA,NA,NA,NA,NA
"theta[2]",0.35795626084,0.3581405,0.373407944835202,19038.3,0.95,0.174333,0.534621,0.5,6.225,NA,NA,NA,NA,NA
"theta[3]",0.393046821025,0.3923805,0.39368985381495,19065.3,0.95,0.209795,0.570963,0.5,12.54,NA,NA,NA,NA,NA
"theta[4]",0.39318337907,0.393533,0.397721390844269,19279.2,0.95,0.208862,0.567897,0.5,12.17,NA,NA,NA,NA,NA
"theta[5]",0.392304632085,0.392397,0.392288515342134,19446.2,0.95,0.212738,0.573143,0.5,12.315,NA,NA,NA,NA,NA
"theta[6]",0.393000084775,0.3926155,0.394633190641146,18356.1,0.95,0.218518,0.581406,0.5,12.515,NA,NA,NA,NA,NA
"theta[7]",0.39112971627,0.3899875,0.384224720947132,19377.2,0.95,0.213372,0.575159,0.5,12.08,NA,NA,NA,NA,NA
"theta[8]",0.391963106315,0.3920375,0.389058841931532,20000,0.95,0.21083,0.571938,0.5,12.12,NA,NA,NA,NA,NA
"theta[9]",0.391354590025,0.3904355,0.400640003859948,19227.7,0.95,0.211809,0.573625,0.5,12.03,NA,NA,NA,NA,NA
"theta[10]",0.391862042465,0.3919885,0.400831705023987,19013.5,0.95,0.205557,0.56815,0.5,12.07,NA,NA,NA,NA,NA
"theta[11]",0.42603546939,0.4250535,0.426215605879249,19131.4,0.95,0.241148,0.609497,0.5,21.01,NA,NA,NA,NA,NA
"theta[12]",0.4262716214,0.425338,0.437365764894429,19439.4,0.95,0.245927,0.610389,0.5,21.025,NA,NA,NA,NA,NA
"theta[13]",0.427381416845,0.425977,0.41748482494504,20000,0.95,0.245051,0.610059,0.5,21.62,NA,NA,NA,NA,NA
"theta[14]",0.42620950335,0.4255325,0.435570588069971,20000,0.95,0.252098,0.613232,0.5,21.095,NA,NA,NA,NA,NA
"theta[15]",0.42729438474,0.425508,0.413734898812492,20000,0.95,0.246172,0.605782,0.5,21.775,NA,NA,NA,NA,NA
"theta[16]",0.4606719014,0.459257,0.455593394658664,19581.5,0.95,0.284356,0.652258,0.5,33.305,NA,NA,NA,NA,NA
"theta[17]",0.4624883775,0.4608845,0.473679341577652,20000,0.95,0.285575,0.650275,0.5,33.97,NA,NA,NA,NA,NA
"theta[18]",0.46079335605,0.458673,0.449534255450022,20836.8,0.95,0.271852,0.639323,0.5,33.175,NA,NA,NA,NA,NA
"theta[19]",0.46094986415,0.459113,0.460721233191214,18812.6,0.95,0.280254,0.648634,0.5,32.995,NA,NA,NA,NA,NA
"theta[20]",0.4603339911,0.4584725,0.45277325920814,19393.6,0.95,0.284586,0.650791,0.5,32.95,NA,NA,NA,NA,NA
"theta[21]",0.4614453701,0.459486,0.447613829320862,19886.4,0.95,0.280878,0.647126,0.5,33.91,NA,NA,NA,NA,NA
"theta[22]",0.46065322645,0.458819,0.452023422408877,18590.2,0.95,0.280183,0.6452,0.5,33.085,NA,NA,NA,NA,NA
"theta[23]",0.4964720731,0.494873,0.509478520893442,19195.8,0.95,0.312844,0.688176,0.5,47.835,NA,NA,NA,NA,NA
"theta[24]",0.4937786793,0.491444,0.482263375768508,19540.2,0.95,0.316755,0.686876,0.5,46.51,NA,NA,NA,NA,NA
"theta[25]",0.52961477995,0.5262755,0.508520549518613,18590.5,0.95,0.341214,0.723553,0.5,60.72,NA,NA,NA,NA,NA
"theta[26]",0.5305233454,0.527419,0.520948361930933,18792.4,0.95,0.335094,0.718067,0.5,61.035,NA,NA,NA,NA,NA
"theta[27]",0.52967204915,0.5261195,0.513356376290885,19881.2,0.95,0.346966,0.728576,0.5,60.725,NA,NA,NA,NA,NA
"theta[28]",0.564056791,0.5599835,0.543405177286387,19218.7,0.95,0.377618,0.769954,0.5,73.09,NA,NA,NA,NA,NA
"theta[1]-theta[14]",-0.102485056805,-0.098778,-0.0750676884167206,19528.6,0.95,-0.352894,0.142438,0,21.025,NA,NA,NA,NA,NA
"theta[1]-theta[28]",-0.240332344455,-0.2318815,-0.210846855573398,18217.3,0.95,-0.530141,0.029884,0,3.76,NA,NA,NA,NA,NA
"theta[14]-theta[28]",-0.13784728765,-0.1324345,-0.120580866868335,19050.9,0.95,-0.401157,0.121722,0,14.615,NA,NA,NA,NA,NA
