"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.500412294505252,0.501519,0.515327103928256,20000,0.95,0.0491433,0.990012,0.5,50.2,NA,NA,NA,NA,NA
"kappa",2.675301811,2,2.00310827623256,490.9,0.95,2,6.84995,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.304921952,0.3037255,0.304565814396263,17817.8,0.95,0.214951,0.394705,0.5,0,NA,NA,NA,NA,NA
"theta[2]",0.402433995,0.401861,0.398214781124895,19602,0.95,0.307399,0.495681,0.5,2.39,NA,NA,NA,NA,NA
"theta[3]",0.5001591648,0.5004065,0.501601402228234,20000,0.95,0.405197,0.599336,0.5,50.405,NA,NA,NA,NA,NA
"theta[4]",0.59710944505,0.5976725,0.600728993143329,20000,0.95,0.499089,0.688241,0.5,97.545,NA,NA,NA,NA,NA
"theta[5]",0.69475652655,0.696544,0.703702473624263,18131.1,0.95,0.605359,0.785747,0.5,99.995,NA,NA,NA,NA,NA
"theta[1]-theta[3]",-0.1952372128,-0.1962175,-0.198482023619093,19516.4,0.95,-0.326976,-0.063793,0,0.2,NA,NA,NA,NA,NA
"theta[1]-theta[5]",-0.38983457455,-0.391448,-0.394709777799994,16497.5,0.95,-0.508862,-0.255882,0,0,NA,NA,NA,NA,NA
"theta[3]-theta[5]",-0.19459736175,-0.194647,-0.191878568976505,20000,0.95,-0.323838,-0.060263,0,0.21,NA,NA,NA,NA,NA
