"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.50139558323155,0.5022745,0.655637195493459,20000,0.95,0.0100692,0.958477,0.5,50.215,NA,NA,NA,NA,NA
"kappa",3.0479982295,2,1.99133872738622,20000,0.95,2,2.4001,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.49803152071365,0.4961735,0.168367703697317,20000,0.95,0.0138916,0.960425,0.5,49.685,NA,NA,NA,NA,NA
"theta[2]",0.49892362674391,0.498426,0.553466020585943,20000,0.95,0.0503639,0.999812,0.5,49.86,NA,NA,NA,NA,NA
"theta[3]",0.503356152486375,0.5060485,0.62949619871561,20927,0.95,0.0327701,0.978765,0.5,50.545,NA,NA,NA,NA,NA
"theta[4]",0.501771664605015,0.502285,0.715244857527675,20000,0.95,0.0500795,0.998725,0.5,50.235,NA,NA,NA,NA,NA
"theta[5]",0.50020692351832,0.5006055,0.762406374505741,20000,0.95,0.0446333,0.991772,0.5,50.07,NA,NA,NA,NA,NA
"theta[6]",0.497953334083,0.497241,0.605723755086431,20000,0.95,0.0216326,0.968273,0.5,49.725,NA,NA,NA,NA,NA
"theta[7]",0.500858576337355,0.500582,0.494036185563555,20000,0.95,0.00897011,0.956168,0.5,50.11,NA,NA,NA,NA,NA
"theta[8]",0.501809269722878,0.502351,0.356116936997563,20000,0.95,0.040613,0.986964,0.5,50.24,NA,NA,NA,NA,NA
"theta[9]",0.495794718323909,0.4948905,0.130664376823355,19341.4,0.95,0.0525601,0.997806,0.5,49.475,NA,NA,NA,NA,NA
"theta[10]",0.497859280345235,0.496611,0.486937741140196,20000,0.95,0.0240895,0.969021,0.5,49.685,NA,NA,NA,NA,NA
"theta[11]",0.50210815057915,0.5018265,0.197014487315554,20000,0.95,0.0509079,0.998526,0.5,50.15,NA,NA,NA,NA,NA
"theta[12]",0.501470718669815,0.5014565,0.829363166240842,20000,0.95,0.0469402,0.995774,0.5,50.16,NA,NA,NA,NA,NA
"theta[13]",0.500277592869455,0.5012,0.258879963217323,20000,0.95,0.0326815,0.977674,0.5,50.095,NA,NA,NA,NA,NA
"theta[14]",0.5011748281783,0.5016965,0.850392593073734,20000,0.95,0.00807869,0.954384,0.5,50.2,NA,NA,NA,NA,NA
"theta[15]",0.49729904331315,0.4959255,0.175724877479948,20000,0.95,0.00469078,0.949801,0.5,49.62,NA,NA,NA,NA,NA
"theta[16]",0.501142681139075,0.503311,0.61762115231433,20000,0.95,0.0395443,0.985024,0.5,50.305,NA,NA,NA,NA,NA
"theta[17]",0.49871812640405,0.497448,0.44647346894891,18570,0.95,0.0235246,0.970522,0.5,49.72,NA,NA,NA,NA,NA
"theta[18]",0.50179049437675,0.505106,0.62241729765278,20260,0.95,0.0321691,0.9799,0.5,50.51,NA,NA,NA,NA,NA
"theta[19]",0.496135460935665,0.4950665,0.115963095119432,20367.4,0.95,0.00902695,0.953721,0.5,49.54,NA,NA,NA,NA,NA
"theta[20]",0.5020292501437,0.503355,0.674664280354541,20000,0.95,0.0159666,0.962373,0.5,50.335,NA,NA,NA,NA,NA
"theta[21]",0.49768225410649,0.4936155,0.225522482234258,20000,0.95,0.0285353,0.975829,0.5,49.41,NA,NA,NA,NA,NA
"theta[22]",0.49999255813446,0.499226,0.249244013758486,19506.4,0.95,0.0470548,0.994852,0.5,49.915,NA,NA,NA,NA,NA
"theta[23]",0.50437354441929,0.5054755,0.225545356878131,17925.9,0.95,0.0485686,0.995253,0.5,50.595,NA,NA,NA,NA,NA
"theta[24]",0.497721898578455,0.4983445,0.553524959226967,21319.2,0.95,0.00313304,0.95099,0.5,49.815,NA,NA,NA,NA,NA
"theta[25]",0.498801214894015,0.4988385,0.508341241673597,19580.7,0.95,0.050627,0.998272,0.5,49.89,NA,NA,NA,NA,NA
"theta[26]",0.499071757454995,0.4976375,0.41090626666393,20000,0.95,0.0505154,0.997987,0.5,49.755,NA,NA,NA,NA,NA
"theta[27]",0.502205541054815,0.508443,0.548749997367033,20980.9,0.95,0.0337351,0.981346,0.5,50.785,NA,NA,NA,NA,NA
"theta[28]",0.49969214926525,0.4976945,0.44427225110756,20000,0.95,0.0471152,0.992699,0.5,49.715,NA,NA,NA,NA,NA
"theta[1]-theta[14]",-0.00314330746465,-0.00374599999999999,-0.00325220662656522,20000,0.95,-0.7880806,0.75306691,0,49.59,NA,NA,NA,NA,NA
"theta[1]-theta[28]",-0.0016606285516,-0.000948400000000002,0.00424241739956699,20000,0.95,-0.772746,0.757932,0,49.885,NA,NA,NA,NA,NA
"theta[14]-theta[28]",0.00148267891305,-0.000761500000000012,-0.00644395846627166,20664.9,0.95,-0.7551443,0.777748,0,49.925,NA,NA,NA,NA,NA
