"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.500893764771875,0.502401,0.199025904651694,20000,0.95,0.0478034,0.998829,0.5,50.245,NA,NA,NA,NA,NA
"kappa",12.466948479,9.610815,4.22019308089766,20000,0.95,2.00127,32.1035,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.50010175645645,0.5016195,0.536305399958367,20000,0.95,0.0337443,0.949658,0.5,50.135,NA,NA,NA,NA,NA
"theta[2]",0.501251130695761,0.499648,0.47298575411541,20000,0.95,0.0311509,0.945867,0.5,49.945,NA,NA,NA,NA,NA
"theta[3]",0.5005442841,0.497734,0.461661728306247,20000,0.95,0.0528264,0.965137,0.5,49.72,NA,NA,NA,NA,NA
"theta[4]",0.500957971404175,0.500379,0.458783058560794,20000,0.95,0.0542037,0.96742,0.5,50.03,NA,NA,NA,NA,NA
"theta[5]",0.49925777530865,0.497065,0.430491250077842,20000,0.95,0.0489388,0.964454,0.5,49.655,NA,NA,NA,NA,NA
"theta[6]",0.4998115893673,0.4998335,0.487039086409658,19584,0.95,0.050048,0.962987,0.5,49.975,NA,NA,NA,NA,NA
"theta[7]",0.498469538167745,0.502018,0.51995960982646,19366.3,0.95,0.0384389,0.955188,0.5,50.205,NA,NA,NA,NA,NA
"theta[8]",0.50080067346655,0.500328,0.491877562808128,20000,0.95,0.0439113,0.95822,0.5,50.055,NA,NA,NA,NA,NA
"theta[9]",0.501600319348335,0.5017775,0.468162854241239,19102.7,0.95,0.0522954,0.965833,0.5,50.215,NA,NA,NA,NA,NA
"theta[10]",0.5017984360219,0.5024385,0.489450699080493,20000,0.95,0.0528694,0.964104,0.5,50.275,NA,NA,NA,NA,NA
"theta[11]",0.499851744960335,0.49886,0.564288948934885,20000,0.95,0.0495567,0.960423,0.5,49.88,NA,NA,NA,NA,NA
"theta[12]",0.5007996388657,0.5011465,0.571615265248181,19321.5,0.95,0.0369878,0.947275,0.5,50.12,NA,NA,NA,NA,NA
"theta[13]",0.5010954753625,0.502599,0.388659497894497,20000,0.95,0.0476044,0.958001,0.5,50.265,NA,NA,NA,NA,NA
"theta[14]",0.50147883688319,0.50247,0.508084406935364,19544.1,0.95,0.0404509,0.950417,0.5,50.26,NA,NA,NA,NA,NA
"theta[15]",0.50123259226715,0.5025745,0.493870366094413,20000,0.95,0.0489433,0.963071,0.5,50.27,NA,NA,NA,NA,NA
"theta[16]",0.5001530275206,0.5004605,0.529366300782309,20000,0.95,0.0426803,0.953103,0.5,50.04,NA,NA,NA,NA,NA
"theta[17]",0.4983422787976,0.497579,0.628044726129275,20000,0.95,0.045698,0.957593,0.5,49.73,NA,NA,NA,NA,NA
"theta[18]",0.50004054955386,0.500127,0.454211906020983,20000,0.95,0.0552926,0.967324,0.5,50.035,NA,NA,NA,NA,NA
"theta[19]",0.50029501774145,0.4997225,0.404932483039575,19495.8,0.95,0.0464096,0.95801,0.5,49.965,NA,NA,NA,NA,NA
"theta[20]",0.50088343276975,0.5001305,0.414292107183898,20000,0.95,0.036739,0.950328,0.5,50.02,NA,NA,NA,NA,NA
"theta[21]",0.50329256164645,0.5046155,0.660881109809354,20000,0.95,0.0472823,0.960894,0.5,50.585,NA,NA,NA,NA,NA
"theta[22]",0.50043387686235,0.50219,0.536302434540353,20000,0.95,0.0436901,0.959499,0.5,50.22,NA,NA,NA,NA,NA
"theta[23]",0.4994122748121,0.4981385,0.397837223959512,20000,0.95,0.0427798,0.954388,0.5,49.76,NA,NA,NA,NA,NA
"theta[24]",0.49938697141335,0.5013455,0.534178688076785,19884.6,0.95,0.0480429,0.960855,0.5,50.135,NA,NA,NA,NA,NA
"theta[25]",0.50159153574825,0.5039595,0.674938538854344,20000,0.95,0.0327783,0.94751,0.5,50.425,NA,NA,NA,NA,NA
"theta[26]",0.49989499617785,0.4994185,0.435262562183245,20000,0.95,0.0406177,0.950347,0.5,49.9,NA,NA,NA,NA,NA
"theta[27]",0.4987832364815,0.499811,0.527051466375244,20000,0.95,0.0461236,0.959869,0.5,49.985,NA,NA,NA,NA,NA
"theta[28]",0.5010435770148,0.498982,0.454049771593773,20000,0.95,0.0423367,0.951942,0.5,49.925,NA,NA,NA,NA,NA
"theta[1]-theta[14]",-0.00137708042674,0.000484999999999972,0.00496005398617738,20000,0.95,-0.485324,0.468642,0,50.15,NA,NA,NA,NA,NA
"theta[1]-theta[28]",-0.00094182055835,-0.000852350000000002,-0.00156249663342445,20000,0.95,-0.474077,0.471731,0,49.75,NA,NA,NA,NA,NA
"theta[14]-theta[28]",0.00043525986839,0.00109559999999996,0.00793634616466155,20000,0.95,-0.474025,0.473465,0,50.215,NA,NA,NA,NA,NA
