"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[1]",50145.462845,49987.65,49303.3615481287,12320.6,0.95,41465.9,59581,NA,NA,NA,NA,NA,NA,NA
"beta0[2]",74160.090105,74182.2,74315.9422648791,18370.7,0.95,65338.9,82982,NA,NA,NA,NA,NA,NA,NA
"beta0[3]",55251.716545,54948.4,54473.2386748892,9041.3,0.95,46250.2,64669.7,NA,NA,NA,NA,NA,NA,NA
"beta0[4]",43719.69099,43507.4,42844.2025627153,11873.2,0.95,35045.6,52976.3,NA,NA,NA,NA,NA,NA,NA
"beta0[5]",63326.3457,63192.5,62566.721560972,14641.3,0.95,54759.8,72550.1,NA,NA,NA,NA,NA,NA,NA
"beta0[6]",64731.36042,64667.15,64172.4637322756,16798.3,0.95,55873,73464.7,NA,NA,NA,NA,NA,NA,NA
"beta0[7]",80572.584455,80631.85,79944.6554816249,18349.6,0.95,70464.8,90190.6,NA,NA,NA,NA,NA,NA,NA
"beta0[8]",66403.12722,66440.45,67160.8761639941,17598.6,0.95,57045.1,75860,NA,NA,NA,NA,NA,NA,NA
"beta0[9]",59841.429945,59480.8,58896.5156633235,6499.9,0.95,48662.1,71352,NA,NA,NA,NA,NA,NA,NA
"beta0[10]",54426.4332,54494.8,54784.4740972107,16761.9,0.95,45349.7,63139,NA,NA,NA,NA,NA,NA,NA
"beta0[11]",55161.325515,55026.7,54306.530265451,15394.7,0.95,46499.7,64150,NA,NA,NA,NA,NA,NA,NA
"beta0[12]",73749.573435,74357.05,75209.6930728326,6232.4,0.95,62201,84308.2,NA,NA,NA,NA,NA,NA,NA
"beta0[13]",49786.436625,49764.7,50078.0489927955,18334.4,0.95,41000.8,58400,NA,NA,NA,NA,NA,NA,NA
"beta0[14]",64070.352985,64073.9,63976.8620093126,16123.2,0.95,54755.5,73046,NA,NA,NA,NA,NA,NA,NA
"beta0[15]",55621.108675,55580.5,54961.4251889906,18006.9,0.95,46897.3,64803.4,NA,NA,NA,NA,NA,NA,NA
"beta0[16]",57573.8102,57408.05,56882.3925408902,14645.7,0.95,48346.5,66719.3,NA,NA,NA,NA,NA,NA,NA
"beta0[17]",57750.991055,57573.8,57634.381227695,13864.8,0.95,49125.9,67205.6,NA,NA,NA,NA,NA,NA,NA
"beta0[18]",49181.19031,49237.6,49417.9883810606,14640.1,0.95,40066.4,58295.1,NA,NA,NA,NA,NA,NA,NA
