county,district,testscr,stratio
Alameda,Sunol Glen Unified,690.7999878,17.88990974
Butte,Thermalito Union Elementary,643.5999756,18.69722557
Butte,Golden Feather Union Elementary,647.7000122,17.3571434
Butte,Palermo Union Elementary,640.8499756,18.6713295
Butte,Oroville City Elementary,639.7999878,19.37339783
Calaveras,Mark Twain Union Elementary,656.8000488,21.08548164
Contra Costa,Knightsen Elementary,635.0499878,17.66766739
Contra Costa,Oakley Union Elementary,655.0500488,20.77954483
Contra Costa,Walnut Creek Elementary,684.8000488,20.7070713
Contra Costa,Moraga Elementary,696.5500488,19.15261078
El Dorado,Camino Union Elementary,644.4000244,17.01863289
El Dorado,Pioneer Union Elementary,655.7999878,22.53846169
El Dorado,Pollock Pines Elementary,659.1500244,20.66963577
El Dorado,Mother Lode Union Elementary,664.7000122,19.19101143
El Dorado,Gold Oak Union Elementary,671.2999878,19.28888893
El Dorado,Buckeye Union Elementary,671.5999756,20.34927368
Fresno,West Fresno Elementary,616.2999878,21
Fresno,Raisin City Elementary,627.0999756,16.22857094
Fresno,West Park Elementary,635.75,16.31168747
Fresno,Pacific Union Elementary,636.5,17.88679314
Fresno,Monroe Elementary,640.0999756,18.3035717
Fresno,American Union Elementary,642.4000244,18.6607151
Fresno,Alvina Elementary,655.0499878,16.9902916
Fresno,Clay Joint Elementary,672.5500488,21.58415794
Glenn,Plaza Elementary,651.8000488,20.74073982
Glenn,Lake Elementary,664.9499512,25.79999924
Glenn,Capay Joint Union Elementary,666.1500244,18
Humboldt,Rio Dell Elementary,635.1999512,17.75499153
Humboldt,Cuddeback Union Elementary,645.25,17.52941132
Humboldt,South Bay Union Elementary,650.5499878,16.38176727
Humboldt,Fortuna Union Elementary,651.4000244,18.95504189
Humboldt,Rohnerville Elementary,652.3499756,19.26544189
Humboldt,Loleta Union Elementary,653.8499756,15.25885487
Humboldt,Scotia Union Elementary,658.3499756,18.68686867
Humboldt,Cutten Elementary,663.5,18.82998085
Humboldt,Freshwater Elementary,667.4500122,19.52191162
Humboldt,Jacoby Creek Elementary,678.0500488,18.72860527
Imperial,Westmorland Union Elementary,620.5,18.33333397
Imperial,Brawley Elementary,638.3000488,20.46258545
Imperial,Meadows Union Elementary,638.3000488,22.29157257
Imperial,El Centro Elementary,641.4499512,21.11500168
Imperial,Magnolia Union Elementary,652,21.60000038
Kern,Vineland Elementary,609,20.89411736
Kern,Lost Hills Union Elementary,618.0500488,16.97786903
Kern,Buttonwillow Union Elementary,618.3000488,16.50980377
Kern,Richland-Lerdo Union Elementary,627.2999878,20.27736664
Kern,Fairfax Elementary,628.5500488,19.82084656
Kern,Delano Union Elementary,628.6500244,23.20522308
Kern,Edison Elementary,630.4000244,20.87179565
